Text,Lebel
জামায়াত সবসময় ধর্মকে ঢাল হিসেবে ব্যবহার করে,Hate
ওদের কথায় কোনোদিনই বিশ্বাস করা যায় না,Hate
ধর্মের নামে মানুষকে ধোঁকা দেওয়াই ওদের কাজ,Hate
নির্বাচনের সময় নাটক করা ছাড়া ওদের কিছু আসে না,Hate
ওদের তসবিহ দেখানো সবই লোক দেখানো,Hate
ওরা শুধু ভোটের সময় ধর্মের কথা মনে আনে,Hate
এ দল দেশের জন্য বিপদ ছাড়া কিছু নয়,Hate
ওদের নেতারা সবসময় মিথ্যে বলে,Hate
ওরা দেশের ক্ষতি ছাড়া কিছুই করে না,Hate
ধর্মকে নিয়ে রাজনীতি করাই ওদের লক্ষ্য,Hate
বিএনপি আর জামায়াত দুজনেই দেশ ধ্বংস করেছে,Hate
ওরা সবসময় অন্যদের দোষ দেয়,Hate
ওদের কথায় মানুষকে ভুল পথে নেয়,Hate
ওরা সবসময় নাটক করে দেশবাসীকে বোকা বানায়,Hate
ওদের রাজনীতি শুধু নিজের স্বার্থে,Hate
জাতীয় সরকার করার নামে বিভ্রান্তি ছড়ায়,Hate
ওদের নেতারা দেশের জন্য কখনো কাজ করেনি,Hate
ধর্মের নামে ওদের ভণ্ডামি মানুষ বুঝে গেছে,Hate
ওদের কথাবার্তা পুরোই রাজনীতির চালাকি,Hate
দেশের ভবিষ্যৎ ওদের হাতে নিরাপদ নয়,Hate
ওদের মতো সুযোগসন্ধানী দল আর নেই,Hate
ওরা ক্ষমতা পেলেই দেশকে পিছিয়ে দেবে,Hate
ওদের প্রতিশ্রুতি সবই ফাঁকা কথা,Hate
ওদের রাজনীতি মানুষকে বিভক্ত করে,Hate
ওরা সবসময় আবেগ নিয়ে খেলা করে,Hate
জাতীয় সরকারের নামে নাটক করছে,Hate
ওদের কোনো পরিকল্পনা বাস্তবসম্মত নয়,Hate
ওদের কথায় কোনো সত্যতা নেই,Hate
ধর্মকে ব্যবহার না করার দাবি সম্পূর্ণ মিথ্যে,Hate
ওদের ভণ্ডামি দেখে মানুষ বিরক্ত,Hate
ওরা সবসময় অভিযোগ করে কিন্তু সমাধান দেয় না,Hate
ওদের রাজনৈতিক অবস্থান অসৎ উদ্দেশ্যে ভরা,Hate
ওরা জনগণের কথা শুধু মুখে বলে,Hate
ওদের আচরণে কোনো দায়িত্বশীলতা নেই,Hate
ওদের কথাবার্তা মানুষকে উসকে দেয়,Hate
ওরা সবসময় ক্ষমতার লোভে অন্ধ,Hate
ওদের নেতৃত্ব দুর্বল এবং ভণ্ড,Hate
ওরা নির্বাচনে এলেই উত্তেজনা বাড়ে,Hate
ওরা রাষ্ট্রকে বিভক্ত করার চেষ্টা করে,Hate
ওদের কোনো বক্তব্যেই আন্তরিকতা নেই,Hate
ওদের দাবি হাস্যকর,Hate
ওরা রাজনৈতিক সুবিধার জন্য ধর্মকে ঘুরিয়ে কথা বলে,Hate
ওরা শুধু বিদেশিদের সামনে ভদ্র সাজে,Hate
দেশের ক্ষতি করাই যেন ওদের লক্ষ্য,Hate
ওরা জনগণের দুঃখ কষ্ট বোঝে না,Hate
ওদের রাজনীতি মানুষকে ক্লান্ত করে দিয়েছে,Hate
ওরা সব ইস্যুকে ধর্মে টেনে আনে,Hate
ওদের কথায় দেশের ভাবমূর্তি নষ্ট হয়,Hate
ওরা সবসময় উত্তেজনা সৃষ্টি করে,Hate
ওদের বক্তব্যে দেশের বিরুদ্ধে বিদ্বেষ ছড়ায়,Hate
ওরা বিদেশিদের দেখিয়ে নিজেদের ভালো প্রমাণ করতে চায়,Hate
ওরা দলে ভিন্নমত মানে না,Hate
ওদের নেতৃত্ব স্বভাবগতভাবেই অযোগ্য,Hate
ওরা সব সময় অন্যদের উপর দোষ চাপায়,Hate
ওরা নিজেদের ভুল কখনো স্বীকার করে না,Hate
ওদের রাজনীতি তরুণদের বিপথে নেয়,Hate
ওদের দাবি শুধু মুখের কথা,Hate
ওরা বড় বড় কথা বলে কিন্তু কাজ করে না,Hate
ওরা সবসময় ষড়যন্ত্রের মধ্যে থাকে,Hate
দেশের সংকটেও ওরা রাজনীতি খোঁজে,Hate
ওরা জনগণের ভোটের যোগ্য নয়,Hate
ওরা ক্ষমতায় গেলে দেশ পিছিয়ে যাবে,Hate
ওদের প্রতিটি কথা সন্দেহজনক,Hate
ওরা বিদেশিদের ভুল তথ্য দেয়,Hate
ওদের রাজনীতি দেশের ওপর বোঝা,Hate
ওদের দলের ভাবমূর্তি ভয়ংকর,Hate
ওদের দৃষ্টিভঙ্গি বিপজ্জনক,Hate
ওরা দেশের স্বার্থ নয় নিজের স্বার্থ দেখে,Hate
ওরা বিশেষ করে নির্বাচনের আগে নাটক করে,Hate
ওদের বক্তব্যে উসকানি লুকানো থাকে,Hate
ওরা সবসময় জনগণকে চাপের মধ্যে রাখে,Hate
ওরা রাজনীতিতে সততার অভাব দেখায়,Hate
ওদের অবস্থান দেশকে অস্থিতিশীল করে,Hate
ওরা শান্তিকে হুমকির মুখে ঠেলে দেয়,Hate
ওদের কার্যক্রম বিতর্কিত,Hate
ওরা কারো মতামত সম্মান করে না,Hate
ওরা জাতীয় সরকারের নামে ক্ষমতা দখল করতে চায়,Hate
ওরা যেকোনো অজুহাতে নির্বাচনকে প্রভাবিত করতে চায়,Hate
ওদের বক্তব্যে বিভ্রান্তি ছড়ানোর চেষ্টা থাকে,Hate
ওরা সহজ প্রশ্নেও গোলমাল করে,Hate
ওরা কখনোই দেশবাসীর আস্থা পাবে না,Hate
ওরা দেশের প্রয়োজন বোঝে না,Hate
ওরা লোক দেখানো ধর্মীয় আচরণ করে,Hate
ওদের প্রতিশ্রুতি মানুষকে বিভ্রান্ত করে,Hate
ওরা জনগণের রায় মানতে চায় না,Hate
ওরা গণতন্ত্রকে ক্ষতিগ্রস্ত করে,Hate
ওরা নিজেরা দুর্নীতি করে আবার অন্যদের কথা বলে,Hate
ওরা ক্ষমতা ছাড়া কিছু বোঝে না,Hate
ওরা সবসময় উত্তেজনামূলক মন্তব্য করে,Hate
ওদের বক্তব্যে মানুষের মধ্যে ঘৃণা বাড়ে,Hate
ওরা দলীয় স্বার্থে দেশের স্বার্থকে ভুলে যায়,Hate
ওরা সংকট বাড়িয়ে নিজেদের লাভ খোঁজে,Hate
ওরা সুযোগ পেলেই দেশকে বিপদে ফেলবে,Hate
ওদের উদ্দেশ্য কখনোই দেশের ভালো নয়,Hate
ওরা মানুষকে বিভক্ত করতে চায়,Hate
ওরা নির্বাচন নিয়ে ভয় দেখায়,Hate
ওদের কথায় শুধু বিদ্বেষ,Hate
ওরা কখনোই স্বচ্ছ রাজনীতি করে না,Hate
এলডিপির নেতা বদলানো রাজনৈতিক স্বার্থ ছাড়া কিছু নয়,Hate
সেলিম নিজের সুবিধার জন্য দল পাল্টেছে,Hate
বিএনপি এসব সুযোগসন্ধানীদের দলে নেয়,Hate
এলডিপি ভেঙে যাওয়া তাদের দুর্বলতার প্রমাণ,Hate
ওদের রাজনীতি শুধু ক্ষমতা পাওয়ার জন্য,Hate
এলডিপির নেতারা টিকে থাকতে না পেরে পালিয়ে যাচ্ছে,Hate
ওরা সবসময় নিজের স্বার্থকে বড় করে দেখে,Hate
এলডিপির ভাঙন দেখায় তারা কতটা অদক্ষ,Hate
বিএনপিতে যোগ দিয়ে তারা শুধু লাভ খুঁজছে,Hate
ওদের সিদ্ধান্ত জনগণের জন্য নয় নিজের জন্য,Hate
এলডিপি বিলুপ্ত করা দায়িত্বহীনতা,Hate
ওরা দলটাকে নষ্ট করে এখন বিএনপিতে যাচ্ছে,Hate
এরা রাজনীতিতে স্থিরতা দেখাতে পারে না,Hate
ওদের যোগদান রাজনৈতিক নাটক,Hate
ওরা যেদিকে সুবিধা পায় সেদিকেই যায়,Hate
ওদের নেতৃত্বে কোনো দৃঢ়তা নেই,Hate
ওরা দলের প্রতি বিশ্বস্ত থাকতে পারে না,Hate
এলডিপির পতন তাদের অযোগ্যতা তুলে ধরে,Hate
ওরা সবসময় বড় দলের ছায়ায় থাকতে চায়,Hate
ওদের সিদ্ধান্ত ভোটের সময়ের স্বার্থেই,Hate
ওরা মানুষের বিশ্বাস নষ্ট করেছে,Hate
এলডিপির ভাঙন তাদের ব্যর্থতা,Hate
এরা কঠিন সময়ে কাউকে ধরে রাখতে পারে না,Hate
ওদের দলে স্থিতিশীলতা নেই,Hate
ওরা সুবিধা পেলেই দল ছেড়ে দেয়,Hate
